item_id,name,discount_price,percentage_discount,regular_price,date_added,url
702239,"Listwa zasilająca Tessan 6 w 1, kostka, 3x USB, przełącznik",79.99,-43.0,139.98,2023-07-26,https://www.pepper.pl/promocje/listwa-zasilajaca-tessan-6-w-1-kostka-3x-usb-przelacznik-702239
702238,Mleko UHT 1.5% Mlekovita (przy zakupie 12) | Lidl,2.39,-36.0,3.75,2023-07-26,https://www.pepper.pl/promocje/mleko-uht-15-mlekovita-przy-zakupie-12-lidl-702238
702237,Pralka ELECTROLUX MEW6FN448XP PerfectCare 600 8 kg 1400 obr,1699.99,-23.0,2199.0,2023-07-26,https://www.pepper.pl/promocje/pralka-electrolux-mew6fn448xp-perfectcare-600-8-kg-1400-obr-702237
702236,Drabina aluminiowa 5 stopni Drabest,119.0,-20.0,149.0,2023-07-26,https://www.pepper.pl/promocje/drabina-aluminiowa-5-stopni-drabest-702236
702233,Galaxy Tab S9 12/256GB- 3600 (lub 3680) zł + 450 zł cashback przedpremiera - możliwe 3150 zł,3999.0,NA,NA,2023-07-26,https://www.pepper.pl/promocje/galaxy-tab-s9-12256gb-3600-lub-3680-zl-450-zl-cashback-przedpremiera-mozliwe-3150-zl-702233
702234,Słuchawki dokanałowe REALME Buds Air 3 Nitro Blue,179.99,-47.0,339.99,2023-07-26,https://www.pepper.pl/promocje/sluchawki-dokanalowe-realme-buds-air-3-nitro-blue-702234
702232,Rower szosowy Trek Emonda SL6 Di2,14544.0,-24.0,19235.0,2023-07-26,https://www.pepper.pl/promocje/rower-szosowy-trek-emonda-sl6-di2-702232
702231,Papier toaletowy 8 sztuk za 5.99zł @Polo market (cena za opakowanie przy zakupie 2),5.99,-20.0,7.49,2023-07-26,https://www.pepper.pl/promocje/papier-toaletowy-8-sztuk-za-599zl-at-polo-market-702231
702230,"22 AWS Courses: AWS Certified Solutions Architect Associate, Professional, Cloud Practitioner, Machine Learning, Security, SysOps & More",29.99,NA,NA,2023-07-26,https://www.pepper.pl/promocje/22-aws-courses-aws-certified-solutions-architect-associate-professional-cloud-practitioner-machine-learning-security-sysops-more-702230
702225,"Chipsy, chrupki i tortille TOP drugi 50% taniej",NA,NA,NA,2023-07-26,https://www.pepper.pl/kupony/chipsy-chrupki-i-tortille-top-drugi-50-taniej-702225
702223,"Ser żółty gouda 16,99 zł/kg",16.79,-35.0,25.7,2023-07-26,https://www.pepper.pl/promocje/ser-zolty-gouda-1699-zlkg-702223
702221,"Cukier 3,89zł/kg MWZ 29zł",3.89,-35.0,5.99,2023-07-26,https://www.pepper.pl/promocje/cukier-bialy-389zlkg-mwz-29zl-702221
702220,Smartwatch Galaxy Watch 6 i 6 classic w przedsprzedazy z Odkup,1499.0,-12.0,1699.0,2023-07-26,https://www.pepper.pl/promocje/galaxy-watch-6-i-6-classic-w-przedsprzedazy-z-odkup-702220
702226,KAZAR - Kody Rabatowe,NA,NA,NA,2023-07-26,https://www.pepper.pl/kupony/kazar-kody-rabatowe-702226
702224,"Stanley Miara Zwijana, Wielokolorowy, 5 m",13.3,NA,NA,2023-07-26,https://www.pepper.pl/promocje/stanley-miara-zwijana-wielokolorowy-5-m-702224
702213,Intermarche. Jajka z wolnego wybiegu po 85 groszy za sztukę.,16.99,NA,NA,2023-07-26,https://www.pepper.pl/promocje/jajka-z-wolnego-wybiegu-702213
702219,Wózek głęboko-spacerowy Recaro Celona i Recaro Sadena za 1899zł (sześć kolorów) @ babyhit.pl,1899.0,-44.0,3388.0,2023-07-26,https://www.pepper.pl/promocje/wozek-gleboko-spacerowy-recaro-celona-i-recaro-sadena-za-1899zl-szesc-kolorow-at-babyhitpl-702219
702217,Kenia ***Hotel ze śniadaniami 4zl za pokój,NA,-96.0,99.0,2023-07-26,https://www.pepper.pl/promocje/kenia-hotel-ze-sniadaniami-4zl-za-pokoj-702217
702214,Sok jabłkowy Riviva 1L 3+3 gratis @Biedronka,1.49,-49.0,2.94,2023-07-26,https://www.pepper.pl/promocje/sok-jablkowy-riviva-1l-33-gratis-at-biedronka-702214
702208,"Proszek do prania, 5kg Lavender Nice, 32 gr za pranie @Leclerc",19.99,-26.0,26.99,2023-07-26,https://www.pepper.pl/promocje/proszek-do-prania-5kg-lavender-nice-32-gr-za-pranie-at-leclerc-702208
702206,Banany 1kg @Biedronka,2.49,NA,NA,2023-07-26,https://www.pepper.pl/promocje/banany-1kg-at-biedronka-702206
702161,Cyrkulator do gotowania Sous vide,99.0,NA,NA,2023-07-26,https://www.pepper.pl/promocje/cyrkulator-do-gotowania-sous-vide-702161
702205,Bułka Grahamka po 29 groszy za sztukę @Leclerc (MWZ 49zł),0.29,-51.0,0.59,2023-07-26,https://www.pepper.pl/promocje/bulka-grahamka-po-29-groszy-at-leclerc-702205
702203,Lodówka SAMSUNG RB36T602DB1 EF No frost 193.5cm Grafitowa,2490.0,-14.0,2899.0,2023-07-26,https://www.pepper.pl/promocje/lodowka-samsung-rb36t602db1-ef-no-frost-1935cm-grafitowa-702203
702202,Procesor AMD Ryzen 5 3600 TRAY,277.09,NA,NA,2023-07-26,https://www.pepper.pl/promocje/amd-ryzen-5-3600-tray-702202
702201,"Zmywarka Whirlpool WIO 3C23 E 6.5 - 59,8cm - automatyczne otwieranie drzwi",1406.27,-11.0,1589.0,2023-07-26,https://www.pepper.pl/promocje/zmywarka-whirlpool-wio-3c23-e-65-598cm-automatyczne-otwieranie-drzwi-702201
702195,Kawa ziarnista Gimoka,26.55,NA,NA,2023-07-26,https://www.pepper.pl/promocje/kawa-ziarnista-gimoka-702195
702193,Erytrytol Erytrol 1kg ( naturalny słodzik ),10.29,NA,NA,2023-07-26,https://www.pepper.pl/promocje/erytrytol-erytrol-1kg-naturalny-slodzik-702193
702194,Pieluchy Dada Extra care 1+1 gratis,NA,NA,NA,2023-07-26,https://www.pepper.pl/kupony/dada-extra-care-11-gratis-702194
702192,"Piwo Heineken 0,5l (cena za sztukę przy zakupie 15)",3.0,NA,NA,2023-07-26,https://www.pepper.pl/promocje/piwo-heineken-702192
702196,"Tezenis wyprzedaże do -70% / biustonosz 22,49 z 74,99zl",22.49,-70.0,74.99,2023-07-26,https://www.pepper.pl/promocje/tezenis-wyprzedaze-do-70-biustonosz-2249-z-7499zl-702196
702187,"Stacja zasilania TOPSHAK TS-PS1500 (440 000 mAh, 1408 Wh, PD100W) $435.99",1741.0,-30.0,2499.0,2023-07-26,https://www.pepper.pl/promocje/stacja-zasilania-topshak-ts-ps1500-440-000-mah-1408-wh-pd100w-702187
702191,"Papier toaletowy, 8 rolek za 5.99 @Aldi",5.99,-20.0,7.49,2023-07-26,https://www.pepper.pl/promocje/papier-toaletowy-8-rolek-za-599-at-aldi-702191
702190,Gra Celeste @ Epic Games,17.25,-75.0,69.0,2023-07-26,https://www.pepper.pl/promocje/celeste-at-epic-games-702190
702189,Rakieta tenisowa HEAD RADICAL S 234131,NA,-15.0,549.99,2023-07-26,https://www.pepper.pl/promocje/rakieta-tenisowa-head-radical-s-234131-702189
702188,"Serial krymimalny ""07 Zgłoś się. Rekonstrukcja cyfrowa 10 DVD. Porucznik Borewicz. Polski James Bond PRLu (druga wersja obraz 4:3 za 79 zł)",69.42,NA,NA,2023-07-26,https://www.pepper.pl/promocje/serial-07-zglos-rekonstrukcja-cyfrowa-porucznik-borewicz-polski-james-bond-prlu-druga-wersja-obraz-43-za-79-zl-702188
