"item_id","name","discount_price","percentage_discount","regular_price","date_added","url"
"693502","Allegro days: Wodny Plac Zabaw Basen + Zjeżdżalnia Bestway","106.0","-32.0","156.89","03-07-2023","https://www.pepper.pl/promocje/allegro-days-wodny-plac-zabaw-basen-zjezdzalnia-bestway-693502"
"693501","ATHLON TOOLS Torba do bagażnika premium z pokrywą – 60 litrów XXL organizer do bagażnika","NA","-34.0","132.0","03-07-2023","https://www.pepper.pl/promocje/athlon-tools-torba-do-bagaznika-premium-z-pokrywa-60-litrow-xxl-organizer-do-bagaznika-693501"
"693500","Nektarynki kg @Dino","4.99","-50.0","9.99","03-07-2023","https://www.pepper.pl/promocje/nektarynki-kg-at-dino-693500"
"693499","Lody tuba oranżada Helena 100 ml przy zakupie 2 szt. @Dino","1.49","-50.0","2.99","03-07-2023","https://www.pepper.pl/promocje/lody-tuba-orenzada-helena-100-ml-przy-zakupie-2-szt-at-dino-693499"
"693492","Monitor LED Samsung TC190 19""","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/monitor-led-samsung-tc190-19-693492"
"693496","Osłona przeciwdeszczowa Worx WA0194","449.0","-36.0","699.0","03-07-2023","https://www.pepper.pl/promocje/garaz-do-worx-landroid-wa0194-693496"
"693495","Dysk zewnętrzny ssd samsung 500gb (czerwony)","199.0","-13.0","229.0","03-07-2023","https://www.pepper.pl/promocje/dysk-zewnetrzny-ssd-samsung-500gb-693495"
"693487","Lody Bracia Koral 900 ml Drugi za 1 zł @Delikatesy Centrum","NA","NA","NA","03-07-2023","https://www.pepper.pl/kupony/lody-bracia-koral-drugi-za-1-zl-at-delikatesy-centrum-693487"
"693483","Frytkownica beztłuszczowa TEFAL Easy Fry EY5018Frytkownica beztłuszczowa TEFAL Easy Fry EY5018","399.0","-5.0","418.0","03-07-2023","https://www.pepper.pl/promocje/frytkownica-beztluszczowa-tefal-easy-fry-ey5018frytkownica-beztluszczowa-tefal-easy-fry-ey5018-693483"
"693485","Stone Banks Pistolet do myjki wysokociśnieniowej z 5 dyszami natryskowymi","95.79","NA","NA","03-07-2023","https://www.pepper.pl/promocje/stone-banks-pistolet-do-myjki-wysokocisnieniowej-z-5-dyszami-natryskowymi-693485"
"693480","Prada Luna Rossa Carbon Woda Toaletowa 100ml (dokładny samouczek na -20%) | Lyko","279.2","-20.0","349.0","03-07-2023","https://www.pepper.pl/promocje/prada-luna-rossa-carbon-woda-toaletowa-100ml-dokladny-samouczek-na-20-lyko-693480"
"693479","Apple Iphone 14 pro 6GB / 128 GB","NA","-7.0","5149.0","03-07-2023","https://www.pepper.pl/promocje/iphone-14-pro-6gb-128-gb-693479"
"693494","Makita ls1018ln. 260mm ukośnica","1724.18","-19.0","2141.7","03-07-2023","https://www.pepper.pl/promocje/makita-ls1018ln-260mm-ukosnica-693494"
"693493","TOPK Mini wentylator biurkowy USB z mocnym przepływem powietrza i cichą pracą, obrotowa głowica 360°","44.99","-36.0","69.99","03-07-2023","https://www.pepper.pl/promocje/topk-mini-wentylator-biurkowy-usb-z-mocnym-przeplywem-powietrza-i-cicha-praca-obrotowa-glowica-360-693493"
"693474","D a r m o w e zajęcia na wodzie W-wa/ zajęcia w ramach akcji Łączą nas wiosła 2023/Szkolenia,wypożyczalnie,spływy,inne","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/bezplatne-zajecia-w-ramach-akcji-lacza-nas-wiosla-2023szkoleniawypozyczalnie-693474"
"692632","Promocje aktywne wakacje w x-kom - np. Silver Monkey TAG lokalizator (Certyfikat FindMy Apple) za 49,99 zł, więcej w opisie @ xkom","49.99","NA","NA","03-07-2023","https://www.pepper.pl/promocje/promocje-aktywne-wakacje-w-x-kom-np-silver-monkey-tag-lokalizator-certyfikat-findmy-apple-za-4999-zl-wiecej-w-opisie-at-xkom-692632"
"693472",">LIPIEC WYDARZEŃ w SZCZYRKU/Koncerty DeMono,Mezo ,atrakcje dla dzieci,wycieczki,pikniki,skoki narciarskie,inne/ D a r m o w o","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/lipiec-wydarzen-w-szczyrkukoncerty-demonomezo-atrakcje-dla-dzieciwycieczkipiknikiza-darmo-693472"
"693470",">>>POKAŻ SWÓJ JĘZYK/Darmowe kursy językowe online","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/pokaz-swoj-jezykdarmowe-kursy-jezykowe-online-693470"
"693491","Rabaty na Cały Asortyment Lidl.pl","NA","NA","NA","03-07-2023","https://www.pepper.pl/kupony/rabaty-na-caly-asortyment-lidlpl-693491"
"693490","Konsola Xbox Series S + Gra Just Dance 2023 | Również dostępna wersja z dodatkowym padem |@AllegroDays","1099.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/konsola-xbox-series-s-gra-just-dance-2023-at-allegrodays-693490"
"693464","Laptop 17 calowy, Lenovo Legion 5-17 Ryzen 7 5800H/16GB/512/RTX3060 144Hz 17,3 cala, win11 + LENOVO cashback 500zl: cena 4499zl","4999.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/laptop-17-calowy-lenovo-legion-5-17-ryzen-7-5800h16gb512rtx3060-144hz-173-cala-17-cali-693464"
"693488","Kawa Ziarnista 2kg Brazylia + Blend","99.99","-29.0","139.99","03-07-2023","https://www.pepper.pl/promocje/kawa-ziarnista-2kg-brazylia-blend-693488"
"693462","Myjka ciśnieniowa Kärcher k4 ,130 bar 1800 W","599.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/myjka-cisnieniowa-karcher-130-bar-1800-w-693462"
